Reporting level,Province,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,Alberta,Bladder Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Alberta,Bladder Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Alberta,Bladder Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Alberta,Breast Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Alberta,Breast Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Alberta,Breast Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Alberta,CABG,% Meeting Benchmark,2008,Proportion,99
Provincial,Alberta,CABG,50th Percentile,2008,Days,7
Provincial,Alberta,CABG,90th Percentile,2008,Days,83
Provincial,Alberta,CABG,Volume,2008,Number of cases,n/a
Provincial,Alberta,Cataract Surgery,% Meeting Benchmark,2008,Proportion,71
Provincial,Alberta,Cataract Surgery,50th Percentile,2008,Days,70
Provincial,Alberta,Cataract Surgery,90th Percentile,2008,Days,199
Provincial,Alberta,Cataract Surgery,Volume,2008,Number of cases,8662
Provincial,Alberta,Colorectal Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Alberta,Colorectal Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Alberta,Colorectal Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Alberta,CT Scan,50th Percentile,2008,Days,10
Provincial,Alberta,CT Scan,90th Percentile,2008,Days,39
Provincial,Alberta,CT Scan,Volume,2008,Number of cases,n/a
Provincial,Alberta,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,n/a
Provincial,Alberta,Hip Fracture Repair,50th Percentile,2008,Hours,n/a
Provincial,Alberta,Hip Fracture Repair,90th Percentile,2008,Hours,n/a
Provincial,Alberta,Hip Fracture Repair,Volume,2008,Number of cases,n/a
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,n/a
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,n/a
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,n/a
Provincial,Alberta,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,n/a
Provincial,Alberta,Hip Replacement,% Meeting Benchmark,2008,Proportion,77
Provincial,Alberta,Hip Replacement,50th Percentile,2008,Days,103
Provincial,Alberta,Hip Replacement,90th Percentile,2008,Days,255
Provincial,Alberta,Hip Replacement,Volume,2008,Number of cases,n/a
Provincial,Alberta,Knee Replacement,% Meeting Benchmark,2008,Proportion,72
Provincial,Alberta,Knee Replacement,50th Percentile,2008,Days,123
Provincial,Alberta,Knee Replacement,90th Percentile,2008,Days,299
Provincial,Alberta,Knee Replacement,Volume,2008,Number of cases,n/a
Provincial,Alberta,Lung Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Alberta,Lung Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Alberta,Lung Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Alberta,MRI Scan,50th Percentile,2008,Days,41
Provincial,Alberta,MRI Scan,90th Percentile,2008,Days,136
Provincial,Alberta,MRI Scan,Volume,2008,Number of cases,40634
Provincial,Alberta,Prostate Cancer Surgery,50th Percentile,2008,Days,n/a
Provincial,Alberta,Prostate Cancer Surgery,90th Percentile,2008,Days,n/a
Provincial,Alberta,Prostate Cancer Surgery,Volume,2008,Number of cases,n/a
Provincial,Alberta,Radiation Therapy,% Meeting Benchmark,2008,Proportion,n/a
Provincial,Alberta,Radiation Therapy,50th Percentile,2008,Days,n/a
