reporting_level,province,indicator,metric,data_year,unit_of_measurement,indicator_result
Provincial,Alberta,Bladder Cancer Surgery,50th Percentile,2019FY,Days,29.0
Provincial,Alberta,Bladder Cancer Surgery,90th Percentile,2019FY,Days,68.0
Provincial,Alberta,Bladder Cancer Surgery,Volume,2019FY,Number of cases,2312.0
Provincial,Alberta,Breast Cancer Surgery,50th Percentile,2019FY,Days,19.0
Provincial,Alberta,Breast Cancer Surgery,90th Percentile,2019FY,Days,36.0
Provincial,Alberta,Breast Cancer Surgery,Volume,2019FY,Number of cases,3787.0
Provincial,Alberta,CABG,50th Percentile,2019FY,Days,7.28
Provincial,Alberta,CABG,90th Percentile,2019FY,Days,76.23
Provincial,Alberta,CABG,Volume,2019FY,Number of cases,1100.0
Provincial,Alberta,Cataract Surgery,% Meeting Benchmark,2019FY,Proportion,45.1
Provincial,Alberta,Cataract Surgery,50th Percentile,2019FY,Days,128.0
Provincial,Alberta,Cataract Surgery,90th Percentile,2019FY,Days,345.0
Provincial,Alberta,Cataract Surgery,Volume,2019FY,Number of cases,27370.0
Provincial,Alberta,Colorectal Cancer Surgery,50th Percentile,2019FY,Days,24.0
Provincial,Alberta,Colorectal Cancer Surgery,90th Percentile,2019FY,Days,54.0
Provincial,Alberta,Colorectal Cancer Surgery,Volume,2019FY,Number of cases,1243.0
Provincial,Alberta,CT Scan,50th Percentile,2019FY,Days,27.0
Provincial,Alberta,CT Scan,90th Percentile,2019FY,Days,106.0
Provincial,Alberta,CT Scan,Volume,2019FY,Number of cases,128129.0
Provincial,Alberta,Hip Replacement,% Meeting Benchmark,2019FY,Proportion,65.5
Provincial,Alberta,Hip Replacement,50th Percentile,2019FY,Days,135.0
Provincial,Alberta,Hip Replacement,90th Percentile,2019FY,Days,279.0
Provincial,Alberta,Hip Replacement,Volume,2019FY,Number of cases,4505.0
Provincial,Alberta,Knee Replacement,% Meeting Benchmark,2019FY,Proportion,61.5
Provincial,Alberta,Knee Replacement,50th Percentile,2019FY,Days,148.0
Provincial,Alberta,Knee Replacement,90th Percentile,2019FY,Days,328.0
Provincial,Alberta,Knee Replacement,Volume,2019FY,Number of cases,6100.0
Provincial,Alberta,Lung Cancer Surgery,50th Percentile,2019FY,Days,21.0
Provincial,Alberta,Lung Cancer Surgery,90th Percentile,2019FY,Days,48.0
Provincial,Alberta,Lung Cancer Surgery,Volume,2019FY,Number of cases,750.0
Provincial,Alberta,MRI Scan,50th Percentile,2019FY,Days,74.0
Provincial,Alberta,MRI Scan,90th Percentile,2019FY,Days,337.0
Provincial,Alberta,MRI Scan,Volume,2019FY,Number of cases,118288.0
Provincial,Alberta,Prostate Cancer Surgery,50th Percentile,2019FY,Days,52.0
Provincial,Alberta,Prostate Cancer Surgery,90th Percentile,2019FY,Days,119.0
Provincial,Alberta,Prostate Cancer Surgery,Volume,2019FY,Number of cases,1165.0
Provincial,Alberta,Radiation Therapy,% Meeting Benchmark,2019FY,Proportion,98.3
Provincial,Alberta,Radiation Therapy,50th Percentile,2019FY,Days,8.0
Provincial,Alberta,Radiation Therapy,90th Percentile,2019FY,Days,20.0
Provincial,Alberta,Radiation Therapy,Volume,2019FY,Number of cases,9104.0
Provincial,British Columbia,Bladder Cancer Surgery,50th Percentile,2019FY,Days,24.0
Provincial,British Columbia,Bladder Cancer Surgery,90th Percentile,2019FY,Days,56.0
Provincial,British Columbia,Bladder Cancer Surgery,Volume,2019FY,Number of cases,3854.0
Provincial,British Columbia,Breast Cancer Surgery,50th Percentile,2019FY,Days,19.0
Provincial,British Columbia,Breast Cancer Surgery,90th Percentile,2019FY,Days,43.0
Provincial,British Columbia,Breast Cancer Surgery,Volume,2019FY,Number of cases,4243.0
Provincial,British Columbia,CABG,50th Percentile,2019FY,Days,6.0
Provincial,British Columbia,CABG,90th Percentile,2019FY,Days,44.0
Provincial,British Columbia,CABG,Volume,2019FY,Number of cases,1993.0
Provincial,British Columbia,Cataract Surgery,% Meeting Benchmark,2019FY,Proportion,68.3
Provincial,British Columbia,Cataract Surgery,50th Percentile,2019FY,Days,68.0
Provincial,British Columbia,Cataract Surgery,90th Percentile,2019FY,Days,238.0
Provincial,British Columbia,Cataract Surgery,Volume,2019FY,Number of cases,63547.0
Provincial,British Columbia,Colorectal Cancer Surgery,50th Percentile,2019FY,Days,21.0
Provincial,British Columbia,Colorectal Cancer Surgery,90th Percentile,2019FY,Days,50.0
Provincial,British Columbia,Colorectal Cancer Surgery,Volume,2019FY,Number of cases,1948.0
Provincial,British Columbia,CT Scan,50th Percentile,2019FY,Days,22.0
Provincial,British Columbia,CT Scan,90th Percentile,2019FY,Days,106.0
Provincial,British Columbia,CT Scan,Volume,2019FY,Number of cases,289518.0
Provincial,British Columbia,Hip Replacement,% Meeting Benchmark,2019FY,Proportion,75.9
Provincial,British Columbia,Hip Replacement,50th Percentile,2019FY,Days,99.0
Provincial,British Columbia,Hip Replacement,90th Percentile,2019FY,Days,285.0
Provincial,British Columbia,Hip Replacement,Volume,2019FY,Number of cases,7429.0
Provincial,British Columbia,Knee Replacement,% Meeting Benchmark,2019FY,Proportion,67.6
Provincial,British Columbia,Knee Replacement,50th Percentile,2019FY,Days,120.0
Provincial,British Columbia,Knee Replacement,90th Percentile,2019FY,Days,321.0
Provincial,British Columbia,Knee Replacement,Volume,2019FY,Number of cases,11207.0
Provincial,British Columbia,Lung Cancer Surgery,50th Percentile,2019FY,Days,19.0
Provincial,British Columbia,Lung Cancer Surgery,90th Percentile,2019FY,Days,49.0
Provincial,British Columbia,Lung Cancer Surgery,Volume,2019FY,Number of cases,1062.0
Provincial,British Columbia,MRI Scan,50th Percentile,2019FY,Days,47.0
Provincial,British Columbia,MRI Scan,90th Percentile,2019FY,Days,148.0
Provincial,British Columbia,MRI Scan,Volume,2019FY,Number of cases,171003.0
Provincial,British Columbia,Prostate Cancer Surgery,50th Percentile,2019FY,Days,40.0
Provincial,British Columbia,Prostate Cancer Surgery,90th Percentile,2019FY,Days,85.0
Provincial,British Columbia,Prostate Cancer Surgery,Volume,2019FY,Number of cases,1071.0
Provincial,British Columbia,Radiation Therapy,% Meeting Benchmark,2019FY,Proportion,92.0
Provincial,British Columbia,Radiation Therapy,50th Percentile,2019FY,Days,11.0
Provincial,British Columbia,Radiation Therapy,90th Percentile,2019FY,Days,27.0
Provincial,British Columbia,Radiation Therapy,Volume,2019FY,Number of cases,12725.0
Provincial,Manitoba,Bladder Cancer Surgery,50th Percentile,2019FY,Days,N/A
Provincial,Manitoba,Bladder Cancer Surgery,90th Percentile,2019FY,Days,N/A
Provincial,Manitoba,Bladder Cancer Surgery,Volume,2019FY,Number of cases,N/A
Provincial,Manitoba,Breast Cancer Surgery,50th Percentile,2019FY,Days,27.0
Provincial,Manitoba,Breast Cancer Surgery,90th Percentile,2019FY,Days,53.0
Provincial,Manitoba,Breast Cancer Surgery,Volume,2019FY,Number of cases,403.0
Provincial,Manitoba,CABG,50th Percentile,2019FY,Days,8.0
Provincial,Manitoba,CABG,90th Percentile,2019FY,Days,60.0
Provincial,Manitoba,CABG,Volume,2019FY,Number of cases,415.0
Provincial,Manitoba,Cataract Surgery,% Meeting Benchmark,2019FY,Proportion,34.0
Provincial,Manitoba,Cataract Surgery,50th Percentile,2019FY,Days,161.0
Provincial,Manitoba,Cataract Surgery,90th Percentile,2019FY,Days,425.0
Provincial,Manitoba,Cataract Surgery,Volume,2019FY,Number of cases,6908.0
Provincial,Manitoba,Colorectal Cancer Surgery,50th Percentile,2019FY,Days,N/A
Provincial,Manitoba,Colorectal Cancer Surgery,90th Percentile,2019FY,Days,N/A
Provincial,Manitoba,Colorectal Cancer Surgery,Volume,2019FY,Number of cases,N/A
Provincial,Manitoba,CT Scan,50th Percentile,2019FY,Days,22.0
Provincial,Manitoba,CT Scan,90th Percentile,2019FY,Days,81.0
Provincial,Manitoba,CT Scan,Volume,2019FY,Number of cases,108797.0
Provincial,Manitoba,Hip Replacement,% Meeting Benchmark,2019FY,Proportion,58.0
Provincial,Manitoba,Hip Replacement,50th Percentile,2019FY,Days,155.0
Provincial,Manitoba,Hip Replacement,90th Percentile,2019FY,Days,363.0
Provincial,Manitoba,Hip Replacement,Volume,2019FY,Number of cases,1751.0
Provincial,Manitoba,Knee Replacement,% Meeting Benchmark,2019FY,Proportion,47.0
Provincial,Manitoba,Knee Replacement,50th Percentile,2019FY,Days,198.0
Provincial,Manitoba,Knee Replacement,90th Percentile,2019FY,Days,416.0
Provincial,Manitoba,Knee Replacement,Volume,2019FY,Number of cases,2793.0
Provincial,Manitoba,Lung Cancer Surgery,50th Percentile,2019FY,Days,29.0
Provincial,Manitoba,Lung Cancer Surgery,90th Percentile,2019FY,Days,62.0
Provincial,Manitoba,Lung Cancer Surgery,Volume,2019FY,Number of cases,323.0
Provincial,Manitoba,MRI Scan,50th Percentile,2019FY,Days,60.0
Provincial,Manitoba,MRI Scan,90th Percentile,2019FY,Days,141.0
Provincial,Manitoba,MRI Scan,Volume,2019FY,Number of cases,76893.0
Provincial,Manitoba,Prostate Cancer Surgery,50th Percentile,2019FY,Days,N/A
Provincial,Manitoba,Prostate Cancer Surgery,90th Percentile,2019FY,Days,N/A
Provincial,Manitoba,Prostate Cancer Surgery,Volume,2019FY,Number of cases,N/A
Provincial,Manitoba,Radiation Therapy,% Meeting Benchmark,2019FY,Proportion,100.0
Provincial,Manitoba,Radiation Therapy,50th Percentile,2019FY,Days,10.0
Provincial,Manitoba,Radiation Therapy,90th Percentile,2019FY,Days,27.0
Provincial,Manitoba,Radiation Therapy,Volume,2019FY,Number of cases,3657.0
Provincial,New Brunswick,Bladder Cancer Surgery,50th Percentile,2019FY,Days,24.0
Provincial,New Brunswick,Bladder Cancer Surgery,90th Percentile,2019FY,Days,69.0
Provincial,New Brunswick,Bladder Cancer Surgery,Volume,2019FY,Number of cases,518.0
Provincial,New Brunswick,Breast Cancer Surgery,50th Percentile,2019FY,Days,20.0
Provincial,New Brunswick,Breast Cancer Surgery,90th Percentile,2019FY,Days,42.0
Provincial,New Brunswick,Breast Cancer Surgery,Volume,2019FY,Number of cases,656.0
Provincial,New Brunswick,CABG,50th Percentile,2019FY,Days,8.0
Provincial,New Brunswick,CABG,90th Percentile,2019FY,Days,159.0
Provincial,New Brunswick,CABG,Volume,2019FY,Number of cases,422.0
Provincial,New Brunswick,Cataract Surgery,% Meeting Benchmark,2019FY,Proportion,65.0
Provincial,New Brunswick,Cataract Surgery,50th Percentile,2019FY,Days,65.0
Provincial,New Brunswick,Cataract Surgery,90th Percentile,2019FY,Days,222.0
Provincial,New Brunswick,Cataract Surgery,Volume,2019FY,Number of cases,11564.0
Provincial,New Brunswick,Colorectal Cancer Surgery,50th Percentile,2019FY,Days,16.0
Provincial,New Brunswick,Colorectal Cancer Surgery,90th Percentile,2019FY,Days,43.0
Provincial,New Brunswick,Colorectal Cancer Surgery,Volume,2019FY,Number of cases,380.0
Provincial,New Brunswick,CT Scan,50th Percentile,2019FY,Days,N/A
Provincial,New Brunswick,CT Scan,90th Percentile,2019FY,Days,N/A
Provincial,New Brunswick,CT Scan,Volume,2019FY,Number of cases,N/A
Provincial,New Brunswick,Hip Replacement,% Meeting Benchmark,2019FY,Proportion,47.0
Provincial,New Brunswick,Hip Replacement,50th Percentile,2019FY,Days,196.0
Provincial,New Brunswick,Hip Replacement,90th Percentile,2019FY,Days,411.0
Provincial,New Brunswick,Hip Replacement,Volume,2019FY,Number of cases,1100.0
Provincial,New Brunswick,Knee Replacement,% Meeting Benchmark,2019FY,Proportion,43.0
Provincial,New Brunswick,Knee Replacement,50th Percentile,2019FY,Days,205.0
Provincial,New Brunswick,Knee Replacement,90th Percentile,2019FY,Days,496.0
Provincial,New Brunswick,Knee Replacement,Volume,2019FY,Number of cases,1851.0
Provincial,New Brunswick,Lung Cancer Surgery,50th Percentile,2019FY,Days,32.0
Provincial,New Brunswick,Lung Cancer Surgery,90th Percentile,2019FY,Days,64.0
Provincial,New Brunswick,Lung Cancer Surgery,Volume,2019FY,Number of cases,138.0
Provincial,New Brunswick,MRI Scan,50th Percentile,2019FY,Days,N/A
Provincial,New Brunswick,MRI Scan,90th Percentile,2019FY,Days,N/A
Provincial,New Brunswick,MRI Scan,Volume,2019FY,Number of cases,N/A
Provincial,New Brunswick,Prostate Cancer Surgery,50th Percentile,2019FY,Days,32.0
Provincial,New Brunswick,Prostate Cancer Surgery,90th Percentile,2019FY,Days,72.0
Provincial,New Brunswick,Prostate Cancer Surgery,Volume,2019FY,Number of cases,177.0
Provincial,New Brunswick,Radiation Therapy,% Meeting Benchmark,2019FY,Proportion,92.5647058823529
Provincial,New Brunswick,Radiation Therapy,50th Percentile,2019FY,Days,12.0
Provincial,New Brunswick,Radiation Therapy,90th Percentile,2019FY,Days,27.0
Provincial,New Brunswick,Radiation Therapy,Volume,2019FY,Number of cases,2125.0
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,50th Percentile,2019FY,Days,20.0
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,90th Percentile,2019FY,Days,42.0
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,Volume,2019FY,Number of cases,254.0
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,50th Percentile,2019FY,Days,16.0
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,90th Percentile,2019FY,Days,33.0
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,Volume,2019FY,Number of cases,455.0
Provincial,Newfoundland and Labrador,CABG,50th Percentile,2019FY,Days,9.0
Provincial,Newfoundland and Labrador,CABG,90th Percentile,2019FY,Days,161.0
Provincial,Newfoundland and Labrador,CABG,Volume,2019FY,Number of cases,326.0
Provincial,Newfoundland and Labrador,Cataract Surgery,% Meeting Benchmark,2019FY,Proportion,61.0
Provincial,Newfoundland and Labrador,Cataract Surgery,50th Percentile,2019FY,Days,96.0
Provincial,Newfoundland and Labrador,Cataract Surgery,90th Percentile,2019FY,Days,209.0
Provincial,Newfoundland and Labrador,Cataract Surgery,Volume,2019FY,Number of cases,2613.0
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,50th Percentile,2019FY,Days,14.0
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,90th Percentile,2019FY,Days,33.0
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,Volume,2019FY,Number of cases,365.0
Provincial,Newfoundland and Labrador,CT Scan,50th Percentile,2019FY,Days,N/A
Provincial,Newfoundland and Labrador,CT Scan,90th Percentile,2019FY,Days,N/A
Provincial,Newfoundland and Labrador,CT Scan,Volume,2019FY,Number of cases,86600.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019FY,Proportion,95.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019FY,Hours,23.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019FY,Hours,43.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,Volume,2019FY,Number of cases,424.0
Provincial,Newfoundland and Labrador,Hip Replacement,% Meeting Benchmark,2019FY,Proportion,73.0
Provincial,Newfoundland and Labrador,Hip Replacement,50th Percentile,2019FY,Days,127.0
Provincial,Newfoundland and Labrador,Hip Replacement,90th Percentile,2019FY,Days,260.0
Provincial,Newfoundland and Labrador,Hip Replacement,Volume,2019FY,Number of cases,407.0
Provincial,Newfoundland and Labrador,Knee Replacement,% Meeting Benchmark,2019FY,Proportion,66.0
Provincial,Newfoundland and Labrador,Knee Replacement,50th Percentile,2019FY,Days,147.0
Provincial,Newfoundland and Labrador,Knee Replacement,90th Percentile,2019FY,Days,292.0
Provincial,Newfoundland and Labrador,Knee Replacement,Volume,2019FY,Number of cases,673.0
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,50th Percentile,2019FY,Days,19.0
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,90th Percentile,2019FY,Days,40.0
Provincial,Newfoundland and Labrador,Lung Cancer Surgery,Volume,2019FY,Number of cases,85.0
Provincial,Newfoundland and Labrador,MRI Scan,50th Percentile,2019FY,Days,N/A
Provincial,Newfoundland and Labrador,MRI Scan,90th Percentile,2019FY,Days,N/A
Provincial,Newfoundland and Labrador,MRI Scan,Volume,2019FY,Number of cases,20135.0
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,50th Percentile,2019FY,Days,43.0
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,90th Percentile,2019FY,Days,63.0
Provincial,Newfoundland and Labrador,Prostate Cancer Surgery,Volume,2019FY,Number of cases,114.0
Provincial,Newfoundland and Labrador,Radiation Therapy,% Meeting Benchmark,2019FY,Proportion,99.0
Provincial,Newfoundland and Labrador,Radiation Therapy,50th Percentile,2019FY,Days,15.0
Provincial,Newfoundland and Labrador,Radiation Therapy,90th Percentile,2019FY,Days,22.0
Provincial,Newfoundland and Labrador,Radiation Therapy,Volume,2019FY,Number of cases,1082.0
Provincial,Nova Scotia,Bladder Cancer Surgery,50th Percentile,2019FY,Days,33.0
Provincial,Nova Scotia,Bladder Cancer Surgery,90th Percentile,2019FY,Days,91.0
Provincial,Nova Scotia,Bladder Cancer Surgery,Volume,2019FY,Number of cases,722.0
Provincial,Nova Scotia,Breast Cancer Surgery,50th Percentile,2019FY,Days,21.0
Provincial,Nova Scotia,Breast Cancer Surgery,90th Percentile,2019FY,Days,41.0
Provincial,Nova Scotia,Breast Cancer Surgery,Volume,2019FY,Number of cases,986.0
Provincial,Nova Scotia,CABG,50th Percentile,2019FY,Days,6.0
Provincial,Nova Scotia,CABG,90th Percentile,2019FY,Days,42.0
Provincial,Nova Scotia,CABG,Volume,2019FY,Number of cases,278.0
Provincial,Nova Scotia,Cataract Surgery,% Meeting Benchmark,2019FY,Proportion,56.0
Provincial,Nova Scotia,Cataract Surgery,50th Percentile,2019FY,Days,91.0
Provincial,Nova Scotia,Cataract Surgery,90th Percentile,2019FY,Days,265.0
Provincial,Nova Scotia,Cataract Surgery,Volume,2019FY,Number of cases,7402.0
Provincial,Nova Scotia,Colorectal Cancer Surgery,50th Percentile,2019FY,Days,25.0
Provincial,Nova Scotia,Colorectal Cancer Surgery,90th Percentile,2019FY,Days,54.0
Provincial,Nova Scotia,Colorectal Cancer Surgery,Volume,2019FY,Number of cases,504.0
Provincial,Nova Scotia,CT Scan,50th Percentile,2019FY,Days,25.0
Provincial,Nova Scotia,CT Scan,90th Percentile,2019FY,Days,84.0
Provincial,Nova Scotia,CT Scan,Volume,2019FY,Number of cases,117578.0
Provincial,Nova Scotia,Hip Replacement,% Meeting Benchmark,2019FY,Proportion,61.6
Provincial,Nova Scotia,Hip Replacement,50th Percentile,2019FY,Days,146.0
Provincial,Nova Scotia,Hip Replacement,90th Percentile,2019FY,Days,442.0
Provincial,Nova Scotia,Hip Replacement,Volume,2019FY,Number of cases,1552.0
Provincial,Nova Scotia,Knee Replacement,% Meeting Benchmark,2019FY,Proportion,48.0
Provincial,Nova Scotia,Knee Replacement,50th Percentile,2019FY,Days,190.0
Provincial,Nova Scotia,Knee Replacement,90th Percentile,2019FY,Days,548.0
Provincial,Nova Scotia,Knee Replacement,Volume,2019FY,Number of cases,2594.0
Provincial,Nova Scotia,Lung Cancer Surgery,50th Percentile,2019FY,Days,42.0
Provincial,Nova Scotia,Lung Cancer Surgery,90th Percentile,2019FY,Days,86.0
Provincial,Nova Scotia,Lung Cancer Surgery,Volume,2019FY,Number of cases,347.0
Provincial,Nova Scotia,MRI Scan,50th Percentile,2019FY,Days,46.0
Provincial,Nova Scotia,MRI Scan,90th Percentile,2019FY,Days,247.0
Provincial,Nova Scotia,MRI Scan,Volume,2019FY,Number of cases,41870.0
Provincial,Nova Scotia,Prostate Cancer Surgery,50th Percentile,2019FY,Days,52.0
Provincial,Nova Scotia,Prostate Cancer Surgery,90th Percentile,2019FY,Days,103.0
Provincial,Nova Scotia,Prostate Cancer Surgery,Volume,2019FY,Number of cases,186.0
Provincial,Nova Scotia,Radiation Therapy,% Meeting Benchmark,2019FY,Proportion,96.7
Provincial,Nova Scotia,Radiation Therapy,50th Percentile,2019FY,Days,9.0
Provincial,Nova Scotia,Radiation Therapy,90th Percentile,2019FY,Days,23.0
Provincial,Nova Scotia,Radiation Therapy,Volume,2019FY,Number of cases,3179.0
Provincial,Ontario,Bladder Cancer Surgery,50th Percentile,2019FY,Days,24.0
Provincial,Ontario,Bladder Cancer Surgery,90th Percentile,2019FY,Days,62.0
Provincial,Ontario,Bladder Cancer Surgery,Volume,2019FY,Number of cases,11419.0
Provincial,Ontario,Breast Cancer Surgery,50th Percentile,2019FY,Days,16.0
Provincial,Ontario,Breast Cancer Surgery,90th Percentile,2019FY,Days,32.0
Provincial,Ontario,Breast Cancer Surgery,Volume,2019FY,Number of cases,12713.0
Provincial,Ontario,CABG,50th Percentile,2019FY,Days,7.0
Provincial,Ontario,CABG,90th Percentile,2019FY,Days,51.0
Provincial,Ontario,CABG,Volume,2019FY,Number of cases,6485.0
Provincial,Ontario,Cataract Surgery,% Meeting Benchmark,2019FY,Proportion,71.6437100969496
Provincial,Ontario,Cataract Surgery,50th Percentile,2019FY,Days,64.0
Provincial,Ontario,Cataract Surgery,90th Percentile,2019FY,Days,219.0
Provincial,Ontario,Cataract Surgery,Volume,2019FY,Number of cases,135328.0
Provincial,Ontario,Colorectal Cancer Surgery,50th Percentile,2019FY,Days,19.0
Provincial,Ontario,Colorectal Cancer Surgery,90th Percentile,2019FY,Days,41.0
Provincial,Ontario,Colorectal Cancer Surgery,Volume,2019FY,Number of cases,4813.0
Provincial,Ontario,CT Scan,50th Percentile,2019FY,Days,6.0
Provincial,Ontario,CT Scan,90th Percentile,2019FY,Days,51.0
Provincial,Ontario,CT Scan,Volume,2019FY,Number of cases,1007677.0
Provincial,Ontario,Hip Replacement,% Meeting Benchmark,2019FY,Proportion,84.5092718227047
Provincial,Ontario,Hip Replacement,50th Percentile,2019FY,Days,76.0
Provincial,Ontario,Hip Replacement,90th Percentile,2019FY,Days,236.0
Provincial,Ontario,Hip Replacement,Volume,2019FY,Number of cases,17688.0
Provincial,Ontario,Knee Replacement,% Meeting Benchmark,2019FY,Proportion,80.1637197118533
Provincial,Ontario,Knee Replacement,50th Percentile,2019FY,Days,85.0
