reporting_level,province,region,indicator,metric,data_year,unit_of_measurement,indicator_result
Provincial,Alberta,,Bladder Cancer Surgery,50th Percentile,2019,Days,29.0
Provincial,Alberta,,Bladder Cancer Surgery,90th Percentile,2019,Days,68.0
Provincial,Alberta,,Bladder Cancer Surgery,Volume,2019,Number of cases,1149.0
Provincial,Alberta,,Breast Cancer Surgery,50th Percentile,2019,Days,17.0
Provincial,Alberta,,Breast Cancer Surgery,90th Percentile,2019,Days,36.0
Provincial,Alberta,,Breast Cancer Surgery,Volume,2019,Number of cases,1928.0
Provincial,Alberta,,CABG,50th Percentile,2019,Days,7.0
Provincial,Alberta,,CABG,90th Percentile,2019,Days,63.0
Provincial,Alberta,,CABG,Volume,2019,Number of cases,549.0
Provincial,Alberta,,Cataract Surgery,% Meeting Benchmark,2019,Proportion,44.3
Provincial,Alberta,,Cataract Surgery,50th Percentile,2019,Days,131.0
Provincial,Alberta,,Cataract Surgery,90th Percentile,2019,Days,356.0
Provincial,Alberta,,Cataract Surgery,Volume,2019,Number of cases,13409.0
Provincial,Alberta,,Colorectal Cancer Surgery,50th Percentile,2019,Days,24.0
Provincial,Alberta,,Colorectal Cancer Surgery,90th Percentile,2019,Days,52.0
Provincial,Alberta,,Colorectal Cancer Surgery,Volume,2019,Number of cases,743.0
Provincial,Alberta,,CT Scan,50th Percentile,2019,Days,23.0
Provincial,Alberta,,CT Scan,90th Percentile,2019,Days,90.0
Provincial,Alberta,,CT Scan,Volume,2019,Number of cases,70851.0
Provincial,Alberta,,Hip Fracture Repair,% Meeting Benchmark,2019,Proportion,91.3014608233732
Provincial,Alberta,,Hip Fracture Repair,50th Percentile,2019,Hours,18.4583333333333
Provincial,Alberta,,Hip Fracture Repair,90th Percentile,2019,Hours,45.6166666666667
Provincial,Alberta,,Hip Fracture Repair,Volume,2019,Number of cases,1506.0
Provincial,Alberta,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019,Proportion,86.6567828020756
Provincial,Alberta,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019,Hours,24.5833333333333
Provincial,Alberta,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019,Hours,52.4
Provincial,Alberta,,Hip Fracture Repair/Emergency and Inpatient,Volume,2019,Number of cases,1349.0
Provincial,Alberta,,Hip Replacement,% Meeting Benchmark,2019,Proportion,63.8
Provincial,Alberta,,Hip Replacement,50th Percentile,2019,Days,141.0
Provincial,Alberta,,Hip Replacement,90th Percentile,2019,Days,273.0
Provincial,Alberta,,Hip Replacement,Volume,2019,Number of cases,2320.0
Provincial,Alberta,,Knee Replacement,% Meeting Benchmark,2019,Proportion,62.1
Provincial,Alberta,,Knee Replacement,50th Percentile,2019,Days,148.0
Provincial,Alberta,,Knee Replacement,90th Percentile,2019,Days,315.0
Provincial,Alberta,,Knee Replacement,Volume,2019,Number of cases,3176.0
Provincial,Alberta,,Lung Cancer Surgery,50th Percentile,2019,Days,21.0
Provincial,Alberta,,Lung Cancer Surgery,90th Percentile,2019,Days,46.0
Provincial,Alberta,,Lung Cancer Surgery,Volume,2019,Number of cases,385.0
Provincial,Alberta,,MRI Scan,50th Percentile,2019,Days,69.0
Provincial,Alberta,,MRI Scan,90th Percentile,2019,Days,340.0
Provincial,Alberta,,MRI Scan,Volume,2019,Number of cases,59854.0
Provincial,Alberta,,Prostate Cancer Surgery,50th Percentile,2019,Days,45.0
Provincial,Alberta,,Prostate Cancer Surgery,90th Percentile,2019,Days,104.0
Provincial,Alberta,,Prostate Cancer Surgery,Volume,2019,Number of cases,583.0
Provincial,Alberta,,Radiation Therapy,% Meeting Benchmark,2019,Proportion,97.6
Provincial,Alberta,,Radiation Therapy,50th Percentile,2019,Days,9.0
Provincial,Alberta,,Radiation Therapy,90th Percentile,2019,Days,21.0
Provincial,Alberta,,Radiation Therapy,Volume,2019,Number of cases,4534.0
Provincial,British Columbia,,Bladder Cancer Surgery,50th Percentile,2019,Days,23.0
Provincial,British Columbia,,Bladder Cancer Surgery,90th Percentile,2019,Days,52.0
Provincial,British Columbia,,Bladder Cancer Surgery,Volume,2019,Number of cases,1934.0
Provincial,British Columbia,,Breast Cancer Surgery,50th Percentile,2019,Days,19.0
Provincial,British Columbia,,Breast Cancer Surgery,90th Percentile,2019,Days,43.0
Provincial,British Columbia,,Breast Cancer Surgery,Volume,2019,Number of cases,2060.0
Provincial,British Columbia,,CABG,50th Percentile,2019,Days,6.3
Provincial,British Columbia,,CABG,90th Percentile,2019,Days,45.0
Provincial,British Columbia,,CABG,Volume,2019,Number of cases,1035.0
Provincial,British Columbia,,Cataract Surgery,% Meeting Benchmark,2019,Proportion,68.7
Provincial,British Columbia,,Cataract Surgery,50th Percentile,2019,Days,66.0
Provincial,British Columbia,,Cataract Surgery,90th Percentile,2019,Days,231.0
Provincial,British Columbia,,Cataract Surgery,Volume,2019,Number of cases,32766.0
Provincial,British Columbia,,Colorectal Cancer Surgery,50th Percentile,2019,Days,21.0
Provincial,British Columbia,,Colorectal Cancer Surgery,90th Percentile,2019,Days,52.0
Provincial,British Columbia,,Colorectal Cancer Surgery,Volume,2019,Number of cases,977.0
Provincial,British Columbia,,CT Scan,50th Percentile,2019,Days,20.0
Provincial,British Columbia,,CT Scan,90th Percentile,2019,Days,100.0
Provincial,British Columbia,,CT Scan,Volume,2019,Number of cases,148133.0
Provincial,British Columbia,,Hip Fracture Repair,% Meeting Benchmark,2019,Proportion,80.2336028751123
Provincial,British Columbia,,Hip Fracture Repair,50th Percentile,2019,Hours,29.05
Provincial,British Columbia,,Hip Fracture Repair,90th Percentile,2019,Hours,64.1666666666667
Provincial,British Columbia,,Hip Fracture Repair,Volume,2019,Number of cases,2226.0
Provincial,British Columbia,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019,Proportion,N/A
Provincial,British Columbia,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019,Hours,N/A
Provincial,British Columbia,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019,Hours,N/A
Provincial,British Columbia,,Hip Fracture Repair/Emergency and Inpatient,Volume,2019,Number of cases,N/A
Provincial,British Columbia,,Hip Replacement,% Meeting Benchmark,2019,Proportion,76.0
Provincial,British Columbia,,Hip Replacement,50th Percentile,2019,Days,96.0
Provincial,British Columbia,,Hip Replacement,90th Percentile,2019,Days,280.0
Provincial,British Columbia,,Hip Replacement,Volume,2019,Number of cases,3587.0
Provincial,British Columbia,,Knee Replacement,% Meeting Benchmark,2019,Proportion,65.9
Provincial,British Columbia,,Knee Replacement,50th Percentile,2019,Days,123.0
Provincial,British Columbia,,Knee Replacement,90th Percentile,2019,Days,323.0
Provincial,British Columbia,,Knee Replacement,Volume,2019,Number of cases,5341.0
Provincial,British Columbia,,Lung Cancer Surgery,50th Percentile,2019,Days,22.0
Provincial,British Columbia,,Lung Cancer Surgery,90th Percentile,2019,Days,58.0
Provincial,British Columbia,,Lung Cancer Surgery,Volume,2019,Number of cases,515.0
Provincial,British Columbia,,MRI Scan,50th Percentile,2019,Days,43.0
Provincial,British Columbia,,MRI Scan,90th Percentile,2019,Days,151.0
Provincial,British Columbia,,MRI Scan,Volume,2019,Number of cases,83988.0
Provincial,British Columbia,,Prostate Cancer Surgery,50th Percentile,2019,Days,42.0
Provincial,British Columbia,,Prostate Cancer Surgery,90th Percentile,2019,Days,84.0
Provincial,British Columbia,,Prostate Cancer Surgery,Volume,2019,Number of cases,517.0
Provincial,British Columbia,,Radiation Therapy,% Meeting Benchmark,2019,Proportion,91.0
Provincial,British Columbia,,Radiation Therapy,50th Percentile,2019,Days,10.0
Provincial,British Columbia,,Radiation Therapy,90th Percentile,2019,Days,27.0
Provincial,British Columbia,,Radiation Therapy,Volume,2019,Number of cases,6510.0
Provincial,Manitoba,,Bladder Cancer Surgery,50th Percentile,2019,Days,N/A
Provincial,Manitoba,,Bladder Cancer Surgery,90th Percentile,2019,Days,N/A
Provincial,Manitoba,,Bladder Cancer Surgery,Volume,2019,Number of cases,N/A
Provincial,Manitoba,,Breast Cancer Surgery,50th Percentile,2019,Days,28.0
Provincial,Manitoba,,Breast Cancer Surgery,90th Percentile,2019,Days,59.0
Provincial,Manitoba,,Breast Cancer Surgery,Volume,2019,Number of cases,207.0
Provincial,Manitoba,,CABG,50th Percentile,2019,Days,8.0
Provincial,Manitoba,,CABG,90th Percentile,2019,Days,76.0
Provincial,Manitoba,,CABG,Volume,2019,Number of cases,205.0
Provincial,Manitoba,,Cataract Surgery,% Meeting Benchmark,2019,Proportion,33.0
Provincial,Manitoba,,Cataract Surgery,50th Percentile,2019,Days,162.0
Provincial,Manitoba,,Cataract Surgery,90th Percentile,2019,Days,422.0
Provincial,Manitoba,,Cataract Surgery,Volume,2019,Number of cases,3769.0
Provincial,Manitoba,,Colorectal Cancer Surgery,50th Percentile,2019,Days,N/A
Provincial,Manitoba,,Colorectal Cancer Surgery,90th Percentile,2019,Days,N/A
Provincial,Manitoba,,Colorectal Cancer Surgery,Volume,2019,Number of cases,N/A
Provincial,Manitoba,,CT Scan,50th Percentile,2019,Days,23.0
Provincial,Manitoba,,CT Scan,90th Percentile,2019,Days,80.0
Provincial,Manitoba,,CT Scan,Volume,2019,Number of cases,54206.0
Provincial,Manitoba,,Hip Fracture Repair,% Meeting Benchmark,2019,Proportion,93.0807248764415
Provincial,Manitoba,,Hip Fracture Repair,50th Percentile,2019,Hours,18.9666666666667
Provincial,Manitoba,,Hip Fracture Repair,90th Percentile,2019,Hours,43.9
Provincial,Manitoba,,Hip Fracture Repair,Volume,2019,Number of cases,607.0
Provincial,Manitoba,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019,Proportion,N/A
Provincial,Manitoba,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019,Hours,N/A
Provincial,Manitoba,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019,Hours,N/A
Provincial,Manitoba,,Hip Fracture Repair/Emergency and Inpatient,Volume,2019,Number of cases,N/A
Provincial,Manitoba,,Hip Replacement,% Meeting Benchmark,2019,Proportion,55.0
Provincial,Manitoba,,Hip Replacement,50th Percentile,2019,Days,163.0
Provincial,Manitoba,,Hip Replacement,90th Percentile,2019,Days,368.0
Provincial,Manitoba,,Hip Replacement,Volume,2019,Number of cases,842.0
Provincial,Manitoba,,Knee Replacement,% Meeting Benchmark,2019,Proportion,46.0
Provincial,Manitoba,,Knee Replacement,50th Percentile,2019,Days,203.0
Provincial,Manitoba,,Knee Replacement,90th Percentile,2019,Days,418.0
Provincial,Manitoba,,Knee Replacement,Volume,2019,Number of cases,1372.0
Provincial,Manitoba,,Lung Cancer Surgery,50th Percentile,2019,Days,34.0
Provincial,Manitoba,,Lung Cancer Surgery,90th Percentile,2019,Days,58.0
Provincial,Manitoba,,Lung Cancer Surgery,Volume,2019,Number of cases,163.0
Provincial,Manitoba,,MRI Scan,50th Percentile,2019,Days,55.0
Provincial,Manitoba,,MRI Scan,90th Percentile,2019,Days,133.0
Provincial,Manitoba,,MRI Scan,Volume,2019,Number of cases,37810.0
Provincial,Manitoba,,Prostate Cancer Surgery,50th Percentile,2019,Days,N/A
Provincial,Manitoba,,Prostate Cancer Surgery,90th Percentile,2019,Days,N/A
Provincial,Manitoba,,Prostate Cancer Surgery,Volume,2019,Number of cases,N/A
Provincial,Manitoba,,Radiation Therapy,% Meeting Benchmark,2019,Proportion,100.0
Provincial,Manitoba,,Radiation Therapy,50th Percentile,2019,Days,9.0
Provincial,Manitoba,,Radiation Therapy,90th Percentile,2019,Days,26.0
Provincial,Manitoba,,Radiation Therapy,Volume,2019,Number of cases,1804.0
Provincial,New Brunswick,,Bladder Cancer Surgery,50th Percentile,2019,Days,25.0
Provincial,New Brunswick,,Bladder Cancer Surgery,90th Percentile,2019,Days,73.0
Provincial,New Brunswick,,Bladder Cancer Surgery,Volume,2019,Number of cases,251.0
Provincial,New Brunswick,,Breast Cancer Surgery,50th Percentile,2019,Days,20.0
Provincial,New Brunswick,,Breast Cancer Surgery,90th Percentile,2019,Days,48.0
Provincial,New Brunswick,,Breast Cancer Surgery,Volume,2019,Number of cases,333.0
Provincial,New Brunswick,,CABG,50th Percentile,2019,Days,8.0
Provincial,New Brunswick,,CABG,90th Percentile,2019,Days,148.0
Provincial,New Brunswick,,CABG,Volume,2019,Number of cases,215.0
Provincial,New Brunswick,,Cataract Surgery,% Meeting Benchmark,2019,Proportion,66.0
Provincial,New Brunswick,,Cataract Surgery,50th Percentile,2019,Days,70.0
Provincial,New Brunswick,,Cataract Surgery,90th Percentile,2019,Days,226.0
Provincial,New Brunswick,,Cataract Surgery,Volume,2019,Number of cases,5908.0
Provincial,New Brunswick,,Colorectal Cancer Surgery,50th Percentile,2019,Days,22.0
Provincial,New Brunswick,,Colorectal Cancer Surgery,90th Percentile,2019,Days,48.0
Provincial,New Brunswick,,Colorectal Cancer Surgery,Volume,2019,Number of cases,212.0
Provincial,New Brunswick,,CT Scan,50th Percentile,2019,Days,N/A
Provincial,New Brunswick,,CT Scan,90th Percentile,2019,Days,N/A
Provincial,New Brunswick,,CT Scan,Volume,2019,Number of cases,N/A
Provincial,New Brunswick,,Hip Fracture Repair,% Meeting Benchmark,2019,Proportion,89.2201834862385
Provincial,New Brunswick,,Hip Fracture Repair,50th Percentile,2019,Hours,18.4833333333333
Provincial,New Brunswick,,Hip Fracture Repair,90th Percentile,2019,Hours,49.0666666666667
Provincial,New Brunswick,,Hip Fracture Repair,Volume,2019,Number of cases,436.0
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019,Proportion,N/A
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019,Hours,N/A
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019,Hours,N/A
Provincial,New Brunswick,,Hip Fracture Repair/Emergency and Inpatient,Volume,2019,Number of cases,N/A
Provincial,New Brunswick,,Hip Replacement,% Meeting Benchmark,2019,Proportion,48.0
Provincial,New Brunswick,,Hip Replacement,50th Percentile,2019,Days,195.0
Provincial,New Brunswick,,Hip Replacement,90th Percentile,2019,Days,378.0
Provincial,New Brunswick,,Hip Replacement,Volume,2019,Number of cases,532.0
Provincial,New Brunswick,,Knee Replacement,% Meeting Benchmark,2019,Proportion,44.0
Provincial,New Brunswick,,Knee Replacement,50th Percentile,2019,Days,197.0
Provincial,New Brunswick,,Knee Replacement,90th Percentile,2019,Days,485.0
Provincial,New Brunswick,,Knee Replacement,Volume,2019,Number of cases,938.0
Provincial,New Brunswick,,Lung Cancer Surgery,50th Percentile,2019,Days,33.0
Provincial,New Brunswick,,Lung Cancer Surgery,90th Percentile,2019,Days,67.0
Provincial,New Brunswick,,Lung Cancer Surgery,Volume,2019,Number of cases,71.0
Provincial,New Brunswick,,MRI Scan,50th Percentile,2019,Days,N/A
