reporting_level,province,indicator,metric,data_year,unit_of_measurement,indicator_result
Provincial,Alberta,Bladder Cancer Surgery,50th Percentile,2019,Days,29.0
Provincial,Alberta,Bladder Cancer Surgery,90th Percentile,2019,Days,68.0
Provincial,Alberta,Bladder Cancer Surgery,Volume,2019,Number of cases,2312.0
Provincial,Alberta,Breast Cancer Surgery,50th Percentile,2019,Days,19.0
Provincial,Alberta,Breast Cancer Surgery,90th Percentile,2019,Days,36.0
Provincial,Alberta,Breast Cancer Surgery,Volume,2019,Number of cases,3787.0
Provincial,Alberta,CABG,50th Percentile,2019,Days,7.3
Provincial,Alberta,CABG,90th Percentile,2019,Days,76.2
Provincial,Alberta,CABG,Volume,2019,Number of cases,1100.0
Provincial,Alberta,Cataract Surgery,% Meeting Benchmark,2019,Proportion,45.1
Provincial,Alberta,Cataract Surgery,50th Percentile,2019,Days,128.0
Provincial,Alberta,Cataract Surgery,90th Percentile,2019,Days,345.0
Provincial,Alberta,Cataract Surgery,Volume,2019,Number of cases,27370.0
Provincial,Alberta,Colorectal Cancer Surgery,50th Percentile,2019,Days,24.0
Provincial,Alberta,Colorectal Cancer Surgery,90th Percentile,2019,Days,54.0
Provincial,Alberta,Colorectal Cancer Surgery,Volume,2019,Number of cases,1243.0
Provincial,Alberta,CT Scan,50th Percentile,2019,Days,27.0
Provincial,Alberta,CT Scan,90th Percentile,2019,Days,106.0
Provincial,Alberta,CT Scan,Volume,2019,Number of cases,128129.0
Provincial,Alberta,Hip Replacement,% Meeting Benchmark,2019,Proportion,65.5
Provincial,Alberta,Hip Replacement,50th Percentile,2019,Days,135.0
Provincial,Alberta,Hip Replacement,90th Percentile,2019,Days,279.0
Provincial,Alberta,Hip Replacement,Volume,2019,Number of cases,4505.0
Provincial,Alberta,Knee Replacement,% Meeting Benchmark,2019,Proportion,61.5
Provincial,Alberta,Knee Replacement,50th Percentile,2019,Days,148.0
Provincial,Alberta,Knee Replacement,90th Percentile,2019,Days,328.0
Provincial,Alberta,Knee Replacement,Volume,2019,Number of cases,6100.0
Provincial,Alberta,Lung Cancer Surgery,50th Percentile,2019,Days,21.0
Provincial,Alberta,Lung Cancer Surgery,90th Percentile,2019,Days,48.0
Provincial,Alberta,Lung Cancer Surgery,Volume,2019,Number of cases,750.0
Provincial,Alberta,MRI Scan,50th Percentile,2019,Days,74.0
Provincial,Alberta,MRI Scan,90th Percentile,2019,Days,337.0
Provincial,Alberta,MRI Scan,Volume,2019,Number of cases,118288.0
Provincial,Alberta,Prostate Cancer Surgery,50th Percentile,2019,Days,52.0
Provincial,Alberta,Prostate Cancer Surgery,90th Percentile,2019,Days,119.0
Provincial,Alberta,Prostate Cancer Surgery,Volume,2019,Number of cases,1165.0
Provincial,Alberta,Radiation Therapy,% Meeting Benchmark,2019,Proportion,98.3
Provincial,Alberta,Radiation Therapy,50th Percentile,2019,Days,8.0
Provincial,Alberta,Radiation Therapy,90th Percentile,2019,Days,20.0
Provincial,Alberta,Radiation Therapy,Volume,2019,Number of cases,9104.0
Provincial,British Columbia,Bladder Cancer Surgery,50th Percentile,2019,Days,24.0
Provincial,British Columbia,Bladder Cancer Surgery,90th Percentile,2019,Days,56.0
Provincial,British Columbia,Bladder Cancer Surgery,Volume,2019,Number of cases,3854.0
Provincial,British Columbia,Breast Cancer Surgery,50th Percentile,2019,Days,19.0
Provincial,British Columbia,Breast Cancer Surgery,90th Percentile,2019,Days,43.0
Provincial,British Columbia,Breast Cancer Surgery,Volume,2019,Number of cases,4243.0
Provincial,British Columbia,CABG,50th Percentile,2019,Days,6.0
Provincial,British Columbia,CABG,90th Percentile,2019,Days,44.0
Provincial,British Columbia,CABG,Volume,2019,Number of cases,1993.0
Provincial,British Columbia,Cataract Surgery,% Meeting Benchmark,2019,Proportion,68.3
Provincial,British Columbia,Cataract Surgery,50th Percentile,2019,Days,68.0
Provincial,British Columbia,Cataract Surgery,90th Percentile,2019,Days,238.0
Provincial,British Columbia,Cataract Surgery,Volume,2019,Number of cases,63547.0
Provincial,British Columbia,Colorectal Cancer Surgery,50th Percentile,2019,Days,21.0
Provincial,British Columbia,Colorectal Cancer Surgery,90th Percentile,2019,Days,50.0
Provincial,British Columbia,Colorectal Cancer Surgery,Volume,2019,Number of cases,1948.0
Provincial,British Columbia,CT Scan,50th Percentile,2019,Days,22.0
Provincial,British Columbia,CT Scan,90th Percentile,2019,Days,106.0
Provincial,British Columbia,CT Scan,Volume,2019,Number of cases,289518.0
Provincial,British Columbia,Hip Replacement,% Meeting Benchmark,2019,Proportion,75.9
Provincial,British Columbia,Hip Replacement,50th Percentile,2019,Days,99.0
Provincial,British Columbia,Hip Replacement,90th Percentile,2019,Days,285.0
Provincial,British Columbia,Hip Replacement,Volume,2019,Number of cases,7429.0
Provincial,British Columbia,Knee Replacement,% Meeting Benchmark,2019,Proportion,67.6
Provincial,British Columbia,Knee Replacement,50th Percentile,2019,Days,120.0
Provincial,British Columbia,Knee Replacement,90th Percentile,2019,Days,321.0
Provincial,British Columbia,Knee Replacement,Volume,2019,Number of cases,11207.0
Provincial,British Columbia,Lung Cancer Surgery,50th Percentile,2019,Days,19.0
Provincial,British Columbia,Lung Cancer Surgery,90th Percentile,2019,Days,49.0
Provincial,British Columbia,Lung Cancer Surgery,Volume,2019,Number of cases,1062.0
Provincial,British Columbia,MRI Scan,50th Percentile,2019,Days,47.0
Provincial,British Columbia,MRI Scan,90th Percentile,2019,Days,148.0
Provincial,British Columbia,MRI Scan,Volume,2019,Number of cases,171003.0
Provincial,British Columbia,Prostate Cancer Surgery,50th Percentile,2019,Days,40.0
Provincial,British Columbia,Prostate Cancer Surgery,90th Percentile,2019,Days,85.0
Provincial,British Columbia,Prostate Cancer Surgery,Volume,2019,Number of cases,1071.0
Provincial,British Columbia,Radiation Therapy,% Meeting Benchmark,2019,Proportion,92.0
Provincial,British Columbia,Radiation Therapy,50th Percentile,2019,Days,11.0
Provincial,British Columbia,Radiation Therapy,90th Percentile,2019,Days,27.0
Provincial,British Columbia,Radiation Therapy,Volume,2019,Number of cases,12725.0
Provincial,Manitoba,Bladder Cancer Surgery,50th Percentile,2019,Days,N/A
Provincial,Manitoba,Bladder Cancer Surgery,90th Percentile,2019,Days,N/A
Provincial,Manitoba,Bladder Cancer Surgery,Volume,2019,Number of cases,N/A
Provincial,Manitoba,Breast Cancer Surgery,50th Percentile,2019,Days,27.0
Provincial,Manitoba,Breast Cancer Surgery,90th Percentile,2019,Days,53.0
Provincial,Manitoba,Breast Cancer Surgery,Volume,2019,Number of cases,403.0
Provincial,Manitoba,CABG,50th Percentile,2019,Days,8.0
Provincial,Manitoba,CABG,90th Percentile,2019,Days,60.0
Provincial,Manitoba,CABG,Volume,2019,Number of cases,415.0
Provincial,Manitoba,Cataract Surgery,% Meeting Benchmark,2019,Proportion,34.0
Provincial,Manitoba,Cataract Surgery,50th Percentile,2019,Days,161.0
Provincial,Manitoba,Cataract Surgery,90th Percentile,2019,Days,425.0
Provincial,Manitoba,Cataract Surgery,Volume,2019,Number of cases,6908.0
Provincial,Manitoba,Colorectal Cancer Surgery,50th Percentile,2019,Days,N/A
Provincial,Manitoba,Colorectal Cancer Surgery,90th Percentile,2019,Days,N/A
Provincial,Manitoba,Colorectal Cancer Surgery,Volume,2019,Number of cases,N/A
Provincial,Manitoba,CT Scan,50th Percentile,2019,Days,22.0
Provincial,Manitoba,CT Scan,90th Percentile,2019,Days,81.0
Provincial,Manitoba,CT Scan,Volume,2019,Number of cases,108797.0
Provincial,Manitoba,Hip Replacement,% Meeting Benchmark,2019,Proportion,58.0
Provincial,Manitoba,Hip Replacement,50th Percentile,2019,Days,155.0
Provincial,Manitoba,Hip Replacement,90th Percentile,2019,Days,363.0
Provincial,Manitoba,Hip Replacement,Volume,2019,Number of cases,1751.0
Provincial,Manitoba,Knee Replacement,% Meeting Benchmark,2019,Proportion,47.0
Provincial,Manitoba,Knee Replacement,50th Percentile,2019,Days,198.0
Provincial,Manitoba,Knee Replacement,90th Percentile,2019,Days,416.0
Provincial,Manitoba,Knee Replacement,Volume,2019,Number of cases,2793.0
Provincial,Manitoba,Lung Cancer Surgery,50th Percentile,2019,Days,29.0
Provincial,Manitoba,Lung Cancer Surgery,90th Percentile,2019,Days,62.0
Provincial,Manitoba,Lung Cancer Surgery,Volume,2019,Number of cases,323.0
Provincial,Manitoba,MRI Scan,50th Percentile,2019,Days,60.0
Provincial,Manitoba,MRI Scan,90th Percentile,2019,Days,141.0
Provincial,Manitoba,MRI Scan,Volume,2019,Number of cases,76893.0
Provincial,Manitoba,Prostate Cancer Surgery,50th Percentile,2019,Days,N/A
Provincial,Manitoba,Prostate Cancer Surgery,90th Percentile,2019,Days,N/A
Provincial,Manitoba,Prostate Cancer Surgery,Volume,2019,Number of cases,N/A
Provincial,Manitoba,Radiation Therapy,% Meeting Benchmark,2019,Proportion,100.0
Provincial,Manitoba,Radiation Therapy,50th Percentile,2019,Days,10.0
Provincial,Manitoba,Radiation Therapy,90th Percentile,2019,Days,27.0
Provincial,Manitoba,Radiation Therapy,Volume,2019,Number of cases,3657.0
Provincial,New Brunswick,Bladder Cancer Surgery,50th Percentile,2019,Days,24.0
Provincial,New Brunswick,Bladder Cancer Surgery,90th Percentile,2019,Days,69.0
Provincial,New Brunswick,Bladder Cancer Surgery,Volume,2019,Number of cases,518.0
Provincial,New Brunswick,Breast Cancer Surgery,50th Percentile,2019,Days,20.0
Provincial,New Brunswick,Breast Cancer Surgery,90th Percentile,2019,Days,42.0
Provincial,New Brunswick,Breast Cancer Surgery,Volume,2019,Number of cases,656.0
Provincial,New Brunswick,CABG,50th Percentile,2019,Days,8.0
Provincial,New Brunswick,CABG,90th Percentile,2019,Days,159.0
Provincial,New Brunswick,CABG,Volume,2019,Number of cases,422.0
Provincial,New Brunswick,Cataract Surgery,% Meeting Benchmark,2019,Proportion,65.0
Provincial,New Brunswick,Cataract Surgery,50th Percentile,2019,Days,65.0
Provincial,New Brunswick,Cataract Surgery,90th Percentile,2019,Days,222.0
Provincial,New Brunswick,Cataract Surgery,Volume,2019,Number of cases,11564.0
Provincial,New Brunswick,Colorectal Cancer Surgery,50th Percentile,2019,Days,16.0
Provincial,New Brunswick,Colorectal Cancer Surgery,90th Percentile,2019,Days,43.0
Provincial,New Brunswick,Colorectal Cancer Surgery,Volume,2019,Number of cases,380.0
Provincial,New Brunswick,CT Scan,50th Percentile,2019,Days,N/A
Provincial,New Brunswick,CT Scan,90th Percentile,2019,Days,N/A
Provincial,New Brunswick,CT Scan,Volume,2019,Number of cases,N/A
Provincial,New Brunswick,Hip Replacement,% Meeting Benchmark,2019,Proportion,47.0
Provincial,New Brunswick,Hip Replacement,50th Percentile,2019,Days,196.0
Provincial,New Brunswick,Hip Replacement,90th Percentile,2019,Days,411.0
Provincial,New Brunswick,Hip Replacement,Volume,2019,Number of cases,1100.0
Provincial,New Brunswick,Knee Replacement,% Meeting Benchmark,2019,Proportion,43.0
Provincial,New Brunswick,Knee Replacement,50th Percentile,2019,Days,205.0
Provincial,New Brunswick,Knee Replacement,90th Percentile,2019,Days,496.0
Provincial,New Brunswick,Knee Replacement,Volume,2019,Number of cases,1851.0
Provincial,New Brunswick,Lung Cancer Surgery,50th Percentile,2019,Days,32.0
Provincial,New Brunswick,Lung Cancer Surgery,90th Percentile,2019,Days,64.0
Provincial,New Brunswick,Lung Cancer Surgery,Volume,2019,Number of cases,138.0
Provincial,New Brunswick,MRI Scan,50th Percentile,2019,Days,N/A
Provincial,New Brunswick,MRI Scan,90th Percentile,2019,Days,N/A
Provincial,New Brunswick,MRI Scan,Volume,2019,Number of cases,N/A
Provincial,New Brunswick,Prostate Cancer Surgery,50th Percentile,2019,Days,32.0
Provincial,New Brunswick,Prostate Cancer Surgery,90th Percentile,2019,Days,72.0
Provincial,New Brunswick,Prostate Cancer Surgery,Volume,2019,Number of cases,177.0
Provincial,New Brunswick,Radiation Therapy,% Meeting Benchmark,2019,Proportion,92.6
Provincial,New Brunswick,Radiation Therapy,50th Percentile,2019,Days,12.0
Provincial,New Brunswick,Radiation Therapy,90th Percentile,2019,Days,27.0
Provincial,New Brunswick,Radiation Therapy,Volume,2019,Number of cases,2125.0
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,50th Percentile,2019,Days,20.0
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,90th Percentile,2019,Days,42.0
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,Volume,2019,Number of cases,254.0
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,50th Percentile,2019,Days,16.0
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,90th Percentile,2019,Days,33.0
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,Volume,2019,Number of cases,455.0
Provincial,Newfoundland and Labrador,CABG,50th Percentile,2019,Days,9.0
Provincial,Newfoundland and Labrador,CABG,90th Percentile,2019,Days,161.0
Provincial,Newfoundland and Labrador,CABG,Volume,2019,Number of cases,326.0
Provincial,Newfoundland and Labrador,Cataract Surgery,% Meeting Benchmark,2019,Proportion,61.0
Provincial,Newfoundland and Labrador,Cataract Surgery,50th Percentile,2019,Days,96.0
Provincial,Newfoundland and Labrador,Cataract Surgery,90th Percentile,2019,Days,209.0
Provincial,Newfoundland and Labrador,Cataract Surgery,Volume,2019,Number of cases,2613.0
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,50th Percentile,2019,Days,14.0
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,90th Percentile,2019,Days,33.0
Provincial,Newfoundland and Labrador,Colorectal Cancer Surgery,Volume,2019,Number of cases,365.0
Provincial,Newfoundland and Labrador,CT Scan,50th Percentile,2019,Days,N/A
Provincial,Newfoundland and Labrador,CT Scan,90th Percentile,2019,Days,N/A
Provincial,Newfoundland and Labrador,CT Scan,Volume,2019,Number of cases,86600.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2019,Proportion,95.0
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2019,Days,0.96
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2019,Days,1.79
Provincial,Newfoundland and Labrador,Hip Fracture Repair/Emergency and Inpatient,Volume,2019,Number of cases,424.0
Provincial,Newfoundland and Labrador,Hip Replacement,% Meeting Benchmark,2019,Proportion,73.0
Provincial,Newfoundland and Labrador,Hip Replacement,50th Percentile,2019,Days,127.0
Provincial,Newfoundland and Labrador,Hip Replacement,90th Percentile,2019,Days,260.0
Provincial,Newfoundland and Labrador,Hip Replacement,Volume,2019,Number of cases,407.0
Provincial,Newfoundland and Labrador,Knee Replacement,% Meeting Benchmark,2019,Proportion,66.0
Provincial,Newfoundland and Labrador,Knee Replacement,50th Percentile,2019,Days,147.0
